author_name,university_name,homepage,source_file
A Min Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,csrankings-a.csv
A. Akbari Azirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,csrankings-a.csv
A. Akbariazirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,csrankings-a.csv
A. Aldo Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,csrankings-a.csv
A. Antony Franklin,IIT Hyderabad,http://www.iith.ac.in/~antony/index.html,csrankings-a.csv
A. B. M. Alim Al Islam,BUET,https://sites.google.com/site/abmalimalislam,csrankings-a.csv
A. B. Siddique 0001,University of Kentucky,http://cs.uky.edu/~siddique,csrankings-a.csv
A. Baskar,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abaskar/profile,csrankings-a.csv
A. C. Cem Say,Boğaziçi University,https://www.cmpe.boun.edu.tr/~say,csrankings-a.csv
A. C. W. Finkelstein,City University of London,https://finkelstein.uk,csrankings-a.csv
A. Cüneyd Tantug,Istanbul Technical University,http://tantug.com,csrankings-a.csv
A. David Marshall,Cardiff University,https://www.cardiff.ac.uk/people/view/118142-marshall-david,csrankings-a.csv
A. E. Eiben,VU Amsterdam,http://www.cs.vu.nl/~gusz,csrankings-a.csv
A. Ercüment Çiçek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,csrankings-a.csv
A. J. Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,csrankings-a.csv
A. J. H. Hidders,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/hidders-jan,csrankings-a.csv
A. J. Jansen 0001,CWI,http://homepages.cwi.nl/~jack,csrankings-a.csv
A. J. Kfoury,Boston University,http://www.cs.bu.edu/~kfoury,csrankings-a.csv
A. Jefferson Offutt,University at Albany - SUNY,https://www.albany.edu/faculty/offutt,csrankings-a.csv
A. John Power,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,csrankings-a.csv
A. K. McIver,Macquarie University,https://researchers.mq.edu.au/en/persons/annabelle-mciver,csrankings-a.csv
A. M. A. Hemmatyar,Sharif University of Technology,http://sharif.edu/~hemmatyar,csrankings-a.csv
A. Mokhade,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-a-s-mokhade,csrankings-a.csv
A. Murat Ozbayoglu,TOBB ETÜ,http://mozbayoglu.etu.edu.tr,csrankings-a.csv
A. Neil Arnason,University of Manitoba,http://www.cs.umanitoba.ca/~arnason,csrankings-a.csv
A. P. Sarath Chandar,Polytechnique Montreal,http://sarathchandar.in,csrankings-a.csv
A. P. Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,csrankings-a.csv
A. Pavan 0001,Iowa State University,http://www.cs.iastate.edu/people/pavan-aduri,csrankings-a.csv
A. Prasad Sistla,University of Illinois at Chicago,https://www.cs.uic.edu/Sistla,csrankings-a.csv
A. Prasad Vinod 0001,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,csrankings-a.csv
A. Robert Calderbank,Duke University,https://ece.duke.edu/faculty/robert-calderbank,csrankings-a.csv
A. Rupam Mahmood,University of Alberta,https://armahmood.github.io,csrankings-a.csv
A. S. M. Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,csrankings-a.csv
